seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
14,S100PBU1,E12430,,8010401072159,日興アセットマネジメント株式会社,G09161,030,10A000,160,2022-03-09,2023-03-08,2022-12-08 09:02,半期報告書（内国投資信託受益証券）－第10期(令和4年3月9日－令和5年3月8日),,,,,,,0,0,0,1,1,0,0
15,S100POE0,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G02363,030,04A000,030,,,2022-12-08 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
16,S100PETH,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G11161,030,04A000,030,,,2022-12-08 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
17,S100POLW,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13884,030,07A000,120,2022-03-11,2022-09-12,2022-12-08 09:02,有価証券報告書（内国投資信託受益証券）－第4期(令和4年3月11日－令和4年9月12日),,,,,,,0,0,0,1,1,1,0
18,S100PO1P,E06748,,2010001049257,大和アセットマネジメント株式会社,G03732,030,07A000,120,2022-03-16,2022-09-15,2022-12-08 09:02,有価証券報告書（内国投資信託受益証券）－第38期(令和4年3月16日－令和4年9月15日),,,,,,,0,0,0,1,1,1,0
19,S100PQN9,E12448,,8010401040306,明治安田アセットマネジメント株式会社,G10386,030,995000,180,,,2022-12-08 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0
20,S100PR0H,E14705,,3010005011484,産業ファンド投資法人,G05568,030,995000,180,,,2022-12-08 09:02,臨時報告書（内国特定有価証券）,,,,第29条第2項第3号,,,0,0,0,1,1,0,0
21,S100PBU0,E12430,,8010401072159,日興アセットマネジメント株式会社,G09161,030,04A000,030,,,2022-12-08 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
22,S100PA3O,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G05077,030,07A000,120,2022-03-15,2022-09-12,2022-12-08 09:02,有価証券報告書（内国投資信託受益証券）－第32期(令和4年3月15日－令和4年9月12日),,,,,,,0,0,0,1,1,1,0
23,S100PQ8A,E14601,,2010401079382,ＰａｙＰａｙアセットマネジメント株式会社,G14493,030,04A001,040,,,2022-12-08 09:02,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100NKO4,,0,0,0,1,1,0,0
24,S100POHJ,E12447,,9011301011486,朝日ライフ　アセットマネジメント株式会社,G13008,030,04A000,030,,,2022-12-08 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
25,S100PO1Q,E06748,,2010001049257,大和アセットマネジメント株式会社,G03732,030,04A000,030,,,2022-12-08 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
26,S100PR0J,E14705,,3010005011484,産業ファンド投資法人,G05568,030,170001,090,,,2022-12-08 09:03,訂正発行登録書（内国投資証券）,,,,,S100PGT1,,0,0,0,0,1,0,0
27,S100PA3N,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G05077,030,04A000,030,,,2022-12-08 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
28,S100POLV,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G13884,030,04A000,030,,,2022-12-08 09:03,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
29,S100PBU5,E12430,,8010401072159,日興アセットマネジメント株式会社,G09162,030,07A000,120,2022-03-09,2022-09-08,2022-12-08 09:03,有価証券報告書（内国投資信託受益証券）－第19期(令和4年3月9日－令和4年9月8日),,,,,,,0,0,0,1,1,1,0
30,S100PETK,E08957,,4010401049128,三井住友ＤＳアセットマネジメント株式会社,G11161,030,07A000,120,2021-09-14,2022-09-12,2022-12-08 09:04,有価証券報告書（内国投資信託受益証券）－第8期(令和3年9月14日－令和4年9月12日),,,,,,,0,0,0,1,1,1,0
