seccode,market,jcn,name,pref,city,type,marketcap_m,since
2428,S,5010001125807,ウェルネット,北海道,札幌市,10,10825,1983
2429,P,4290801004051,ワールドホールディングス,福岡県,北九州市,10,45149,
2432,P,4011001032721,ディー・エヌ・エー,東京都,渋谷区,10,183096,1999
2433,P,4010401051711,博報堂ＤＹホールディングス,東京都,港区,10,418776,2003
2435,S,3290801004110,シダー,福岡県,北九州市,10,2903,1981
2436,S,4010001041427,共同ピーアール,東京都,中央区,10,4828,1964
2437,S,7010001047124,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,東京都,中央区,10,5637,
2438,G,7240001000407,アスカネット,広島県,広島市,10,11788,1995
2440,P,1010001034565,ぐるなび,東京都,千代田区,10,16559,1989
2445,P,5120001102126,タカミヤ,大阪府,大阪市,10,22128,1969
2449,S,7010401097578,プラップジャパン,東京都,港区,10,4773,1970
2453,P,9180001044664,ジャパンベストレスキューシステム,愛知県,名古屋市,10,34025,1997
2454,S,7011001034665,オールアバウト,東京都,渋谷区,10,6050,1993
2459,S,4010001078254,アウンコンサルティング,東京都,千代田区,10,1110,1998
2461,P,7011001035606,ファンコミュニケーションズ,東京都,渋谷区,10,31541,1999
2462,P,5120001111993,ライク,大阪府,大阪市,10,29019,1993
2464,S,9010001027297,Ａｏｂａ‐ＢＢＴ,東京都,千代田区,10,5748,1998
2468,S,1120001095092,フュートレック,大阪府,大阪市,10,2243,
2469,S,8010401025232,ヒビノ,東京都,港区,10,17041,1964
2471,P,8010001072939,エスプール,東京都,千代田区,10,31050,1999
2475,P,5140001062244,ＷＤＢホールディングス,兵庫県,姫路市,10,44533,1985
2477,S,6011001044649,手間いらず,東京都,渋谷区,10,15683,2003
2479,G,9010001065586,ジェイテック,東京都,中央区,10,2083,
2480,S,7013201018258,システム・ロケーション,東京都,目黒区,10,4855,1968
2481,S,4021001022663,タウンニュース社,神奈川県,横浜市,10,3769,1980
2483,S,1120001089458,翻訳センター,大阪府,大阪市,10,5646,1986
2484,S,3120001089729,出前館,東京都,渋谷区,10,49393,1999
2485,S,6180001045104,ティア,愛知県,名古屋市,10,10394,1997
2487,S,6120001054993,ＣＤＧ,大阪府,大阪市,10,7613,
2488,S,6010701025248,ＪＴＰ,東京都,品川区,10,5414,
2489,P,7011101041652,アドウェイズ,東京都,新宿区,10,22221,2001
2491,P,1010401062075,バリューコマース,東京都,千代田区,10,43640,1996
2492,P,2010401041383,インフォマート,東京都,港区,10,114669,
2493,S,2013301018864,イーサポートリンク,東京都,豊島区,10,3779,
2497,G,6010401094782,ユナイテッド,東京都,渋谷区,10,34674,1998
2498,S,5011001048948,オリエンタルコンサルタンツホールディングス,東京都,渋谷区,10,15977,2006
2499,S,5010001111724,日本和装ホールディングス,東京都,港区,10,3179,1986
2501,P,4011001009265,サッポロホールディングス,東京都,渋谷区,1,458977,1949
2502,P,6010601036386,アサヒグループホールディングス,東京都,墨田区,1,2824009,1949
2503,P,5010001034768,キリンホールディングス,東京都,中野区,1,1992063,1907
2531,P,4130001014981,宝ホールディングス,京都府,京都市,1,239640,1925
2533,P,2010001034770,オエノンホールディングス,東京都,墨田区,1,24988,1924
2540,P,2011001024084,養命酒製造,東京都,渋谷区,1,30327,1923
2573,S,9430001021794,北海道コカ・コーラボトリング,北海道,札幌市,1,36197,1963
2579,P,4290001002946,コカ・コーラ　ボトラーズジャパンホールディングス,東京都,港区,1,401502,1960
2585,P,7120901008940,ライフドリンク　カンパニー,大阪府,大阪市,1,51672,1972
2586,G,4010001094581,フルッタフルッタ,東京都,千代田区,1,1787,
2587,P,8010401080079,サントリー食品インターナショナル,東京都,港区,1,1477020,2009
2588,S,9090001010626,プレミアムウォーターホールディングス,山梨県,富士吉田市,1,85050,2006
2590,P,2120001083154,ダイドーグループホールディングス,大阪府,大阪市,1,99245,1975
2593,P,3011001002279,伊藤園,東京都,渋谷区,1,426435,1966
2594,P,4010401007523,キーコーヒー,東京都,港区,1,47080,1952
2597,S,9010401030413,ユニカフェ,東京都,港区,1,13356,1972
2599,S,2040001059014,ジャパンフーズ,千葉県,長柄町,1,5962,1976
2602,P,1010001034887,日清オイリオグループ,東京都,中央区,1,145823,1907
2607,P,8120001088461,不二製油グループ本社,大阪府,泉佐野市,1,215683,1950
2612,S,9010701002351,かどや製油,東京都,品川区,1,33558,1957
2613,P,6010001078021,Ｊ－オイルミルズ,東京都,中央区,1,66146,2002
2651,P,2010701019195,ローソン,東京都,品川区,14,732391,1975
2652,S,4011201005139,まんだらけ,東京都,中野区,14,11939,1987
2653,S,6290001017604,イオン九州,福岡県,福岡市,14,81023,1972
2654,S,9120001030926,アスモ,東京都,新宿区,14,5331,1975
2656,S,7011101035588,ベクターホールディングス,東京都,新宿区,14,4812,1989
2659,P,5360001008803,サンエー,沖縄県,宜野湾市,14,146796,1970
2664,P,3060001014164,カワチ薬品,栃木県,小山市,14,59320,1980
2666,S,4040001001139,オートウェーブ,千葉県,千葉市,14,2240,1990
2667,S,9011101002149,イメージ　ワン,東京都,品川区,13,5013,
