日付,コード,銘柄名,33業種コード,17業種コード,規模コード,市場コード,法人番号,法人名,法人名ふりがな,法人名英語,本店所在地,設立,時価総額
20231031,5900,ダイケン,3550,3,-,S,6120001056412,株式会社ダイケン,だいけん,,大阪府大阪市淀川区新高２丁目７番１３号,1948年（昭和23年）3月26日（株式会社植製作所）,4979
20231031,5901,東洋製罐グループホールディングス,3550,3,4,P,7010701026096,東洋製罐グループホールディングス株式会社,とうようせいかんぐるーぷほーるでぃんぐす,,東京都品川区東五反田２丁目１８番１号,1917年（大正6年）6月25日（東洋製罐株式会社）,434389
20231031,5902,ホッカンホールディングス,3550,3,7,P,6010001008804,ホッカンホールディングス株式会社,ほっかんほーるでぃんぐす,,東京都中央区日本橋室町２丁目１番１号,1950年2月1日,21591
20231031,5903,シンポ,3550,3,-,S,8180001002144,シンポ株式会社,しんぽ,,愛知県名古屋市名東区若葉台１１０番地,1971年（昭和46年）4月1日（株式会社エーワイ食機）,7357
20231031,5905,日本製罐,3550,3,-,S,4030001006527,日本製罐株式会社,にほんせいかん,,埼玉県さいたま市北区吉野町２丁目２７５番地,1925年6月23日,2352
20231031,5906,エムケー精工,3550,3,-,S,2100001006100,エムケー精工株式会社,えむけーせいこう,,長野県千曲市大字雨宮１８２５番地,1956年12月17日,6020
20231031,5909,コロナ,3550,3,7,S,5110001014116,株式会社コロナ,ころな,,新潟県三条市東新保７番７号,1950年7月3日,26614
20231031,5911,横河ブリッジホールディングス,3550,3,6,P,9010401030578,株式会社横河ブリッジホールディングス,よこがわぶりっじほーるでぃんぐす,,東京都港区芝浦４丁目４番４４号,,116502
20231031,5915,駒井ハルテック,3550,3,7,P,2120001028927,株式会社駒井ハルテック,こまいはるてっく,,大阪府大阪市西区立売堀４丁目２番２１号,1943年（昭和18年）4月30日(株式会社駒井鐵工所),11213
20231031,5918,瀧上工業,3550,3,-,S,1180001089667,瀧上工業株式会社,たきがみこうぎょう,,愛知県半田市神明町１丁目１番地,1937年（昭和12年）1月28日（瀧上鐵骨鐵筋工業株式会社）,22282
20231031,5921,川岸工業,3550,3,-,S,1010401007286,川岸工業株式会社,かわぎしこうぎょう,,東京都港区東新橋１丁目２番１３号,,9390
