ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E01233,内国法人・組合,上場,有,10003, 3月31日,三菱製鋼株式会社,"Mitsubishi Steel Mfg. Co.,Ltd.",ミツビシセイコウカブシキガイシャ,中央区月島四丁目１６番１３号,鉄鋼,56320,8010001058095
E01234,内国法人・組合,上場,有,25016, 3月31日,愛知製鋼株式会社,AICHI STEEL CORPORATION,アイチセイコウカブシキガイシャ,東海市荒尾町ワノ割１番地,鉄鋼,54820,9180001094156
E01235,内国法人・組合,上場,有,34896, 3月31日,合同製鐵株式会社,"Godo Steel,Ltd.",ゴウドウセイテツカブシキガイシャ,大阪市北区堂島浜二丁目２番８号　東洋紡ビル８階,鉄鋼,54100,6120001049614
E01236,内国法人・組合,上場,有,2627, 3月31日,日本鋳造株式会社,NIPPON CHUZO K. K.,ニッポンチュウゾウカブシキガイシャ,川崎市川崎区白石町２－１,鉄鋼,56090,8020001074100
E01238,内国法人・組合,上場,無,651,12月31日,大和重工株式会社,"Daiwa Heavy Industry Co.,Ltd.",ダイワジュウコウカブシキガイシャ,広島市安佐北区可部１丁目２１－２３,鉄鋼,56100,9240001005817
E01239,内国法人・組合,上場,有,37172, 3月31日,大同特殊鋼株式会社,"Daido Steel Co., Ltd.",ダイドウトクシュコウカブシキガイシャ,名古屋市東区東桜一丁目１番１０号,鉄鋼,54710,6180001037514
E01240,内国法人・組合,上場,有,12721, 3月31日,日本高周波鋼業株式会社,"Nippon Koshuha Steel Co., Ltd.",ニッポンコウシュウハコウギョウカブシキガイシャ,千代田区岩本町一丁目１０番５号,鉄鋼,54760,1010001016852
E01242,内国法人・組合,上場,有,24301, 3月31日,日本冶金工業株式会社,"Nippon Yakin Kogyo Co.,Ltd.",ニッポンヤキンコウギョウカブシキガイシャ,中央区京橋一丁目５番８号,鉄鋼,54800,2010001034977
E01243,内国法人・組合,上場,有,53800, 3月31日,山陽特殊製鋼株式会社,"Sanyo Special Steel Co.,Ltd.",サンヨウトクシュセイコウカブシキガイシャ,姫路市飾磨区中島字一文字３００７番地,鉄鋼,54810,6140001058935
E01244,内国法人・組合,上場,有,26284, 3月31日,日立金属株式会社,"Hitachi Metals, Ltd.",ヒタチキンゾクカブシキガイシャ,江東区豊洲五丁目６番３６号,鉄鋼,54860,3010401038783
E01245,内国法人・組合,上場,有,827, 3月31日,東北特殊鋼株式会社,"Tohoku Steel Co.,Ltd.",トウホクトクシュコウカブシキガイシャ,仙台市太白区長町七丁目２０番１号,鉄鋼,54840,2370001002444
E01247,内国法人・組合,上場,有,23220, 3月31日,株式会社淀川製鋼所,"Yodogawa Steel Works,Ltd.",カブシキガイシャヨドガワセイコウショ,大阪市中央区南本町四丁目１番１号,鉄鋼,54510,4120001077591
E01251,内国法人・組合,上場,有,5907, 3月31日,中部鋼鈑株式会社,"Chubu Steel Plate Co.,Ltd.",チュウブコウハンカブシキガイシャ,名古屋市中川区小碓通五丁目１番地,鉄鋼,54610,2180001020102
E01253,内国法人・組合,上場,有,9595, 3月31日,丸一鋼管株式会社,Maruichi Steel Tube Ltd.,マルイチコウカンカブシキガイシャ,大阪市中央区難波五丁目１番６０号,鉄鋼,54630,5120001047593
E01254,内国法人・組合,上場,有,13922, 3月31日,大平洋金属株式会社,"Pacific Metals Co., Ltd.",タイヘイヨウキンゾクカブシキガイシャ,千代田区大手町一丁目６番１号,鉄鋼,55410,2010001008717
E01256,内国法人・組合,上場,有,11072,12月31日,新日本電工株式会社,"Nippon Denko Co., Ltd.",シンニッポンデンコウカブシキガイシャ,中央区八重洲一丁目４番１６号,鉄鋼,55630,9010001035003
E01257,内国法人・組合,上場,無,175,12月31日,新報国マテリアル株式会社,Shinhokoku Material Corp.,シンホウコクマテリアルカブシキガイシャ,川越市新宿町５丁目１３番地１,鉄鋼,55420,1030001054909
E01259,内国法人・組合,上場,有,7996, 3月31日,大和工業株式会社,"YAMATO KOGYO CO.,LTD.",ヤマトコウギョウカブシキガイシャ,姫路市大津区吉美３８０番地,鉄鋼,54440,8140001059873
E01260,内国法人・組合,上場,有,1969, 3月31日,北越メタル株式会社,"HOKUETSU METAL Co.,Ltd.",ホクエツメタルカブシキガイシャ,長岡市蔵王三丁目３番１号,鉄鋼,54460,9110001023162
E01261,内国法人・組合,上場,無,30894, 3月31日,東京製鐵株式会社,"TOKYO STEEL MANUFACTURING CO., LTD.",トウキョウセイテツカブシキガイシャ,千代田区霞が関三丁目７番１号　霞が関東急ビル,鉄鋼,54230,8010001008819
E01262,内国法人・組合,上場,無,8769, 3月31日,大阪製鐵株式会社,"OSAKA STEEL CO.,LTD.",オオサカセイテツカブシキガイシャ,大阪市大正区南恩加島一丁目９番３号,鉄鋼,54490,1120001028390
E01264,内国法人・組合,上場,有,147143, 3月31日,ＪＦＥホールディングス株式会社,"JFE Holdings,Inc.",ジェイエフイーホールディングスカブシキカイシャ,千代田区内幸町二丁目２番３号,鉄鋼,54110,6010001080308
